Time,CAN2_CPC_C12_HiResAccelPdlPosn_Cval_t1
0.010288423,0.0
0.020292846,0.0
0.030417289,0.0
0.040445323,0.0
0.050287258,0.0
0.060287978,0.0
0.070290918,0.0
0.080302248,0.0
0.090418473,0.0
0.100308112,0.0
0.110289738,0.0
0.120292068,0.0
0.130288601,0.0
0.140336339,0.0
0.150420374,0.0
0.160290998,0.0
0.170291437,0.0
0.18029147,0.0
0.19029369,0.0
0.200289317,0.0
0.210413557,0.0
0.22028779,0.0
0.23029312,0.0
0.240311857,0.0
0.25029178,0.0
0.26029111,0.0
0.270418959,0.0
0.280293177,0.0
0.290292616,0.0
0.300290337,0.0
0.310292573,0.0
0.320287606,0.0
0.330426737,0.0
0.340314876,0.0
0.350293096,0.0
0.360293942,0.0
0.370291069,0.0
0.380292695,0.0
0.390431326,0.0
0.400289058,0.0
0.410292592,0.0
0.420289235,0.0
0.430297361,0.0
0.440323583,0.0
0.450295818,0.0
0.460295054,0.0
0.470296682,0.0
0.480293715,0.0
0.490298654,0.0
0.500292875,0.0
0.510298017,0.0
0.52029155,0.0
0.530293177,0.0
0.540316305,0.0
0.550297541,0.0
0.560294277,0.0
0.5702952,0.0
0.580294437,0.0
0.59029736,0.0
0.600295299,0.0
0.610293536,0.0
0.620293773,0.0
0.630296995,0.0
0.640317126,0.0
0.650297365,0.0
0.660298698,0.0
0.670296829,0.0
0.680298677,0.0
0.690297511,0.0
0.700293844,0.0
0.710299787,0.0
0.720294011,0.0
0.730297141,0.0
0.740318882,0.0
0.750298621,0.0
0.760299751,0.0
0.770296194,0.0
0.780299824,0.0
0.790299064,0.0
0.800303194,0.0
0.810298934,0.0
0.820296361,0.0
0.830307601,0.0
0.840327138,0.0
0.850298268,0.0
0.860299007,0.0
0.870304747,0.0
0.880299674,0.0
0.890301008,0.0
0.900295856,0.0
0.91030069,0.0
0.920299711,0.0
0.93029956,0.0
0.940334895,0.0
0.950316025,0.0
0.960311061,0.0
0.970302393,0.0
0.980312727,0.0
0.990311671,0.0
1.000312503,0.0
1.01029904,0.0
1.020317765,0.0
1.030303004,0.0
1.040457842,0.0
1.050302374,0.0
1.060302113,0.0
1.070302353,0.0
1.080318281,0.0
1.09030252,0.0
1.100325854,0.0
1.11030289,0.0
1.120302021,0.0
1.130302963,0.0
1.140387205,0.0
1.150310631,0.0
1.160306167,0.0
1.170304094,0.0
1.180304443,0.0
1.19030798,0.0
1.200301016,0.0
1.210308146,0.0
1.220300479,0.0
1.23030611,0.0
1.240329053,0.0
1.250304589,0.0
1.260306423,0.0
1.27030535,0.0
1.280305684,0.0
1.290305032,0.0
1.300304054,0.0
1.310305886,0.0
1.320302736,0.0
1.330303459,0.0
1.340326107,0.0
1.350308346,0.0
1.360307069,0.0
1.370305513,0.0
1.380305642,0.0
1.390309086,0.0
1.400306215,0.0
1.410305643,0.0
1.420303882,0.0
1.430307825,0.0
1.440327362,0.0
1.45031979,0.0
1.460328123,0.0
1.470319457,0.0
1.480310399,0.0
1.490321327,0.0
1.500305066,0.0
1.510320493,0.0
1.520303936,0.0
1.530321176,0.0
1.540330197,0.0
1.550309733,0.0
1.560311175,0.0
1.570307009,0.0
1.580310952,0.0
1.590309285,0.0
1.600305509,0.0
1.610308655,0.0
1.620307083,0.0
1.630310724,0.0
1.640332939,0.0
1.650309465,0.0
1.660310898,0.0
1.670312019,0.0
1.680310951,0.0
1.690312369,0.0
1.700308599,0.0
1.710311516,0.0
1.720443953,0.0
1.730312382,0.0
1.740334301,0.0
1.75031203,0.0
1.76031165,0.0
1.77031177,0.0
1.780440395,0.0
1.790313121,0.0
1.800317257,0.0
1.810309971,0.0
1.820308904,0.0
1.830323322,0.0
1.840470853,0.0
1.850313673,0.0
1.860312902,0.0
1.870316429,0.0
1.880315659,0.0
1.890312686,0.0
1.9004442,0.0
1.910313739,0.0
1.920311157,0.0
1.930314184,0.0
1.940336007,0.0
1.950315127,0.0
1.960456252,0.0
1.970334182,0.0
1.980326208,0.0
1.990346735,0.0
2.000323465,0.0
2.010314491,0.0
2.020461007,0.0
2.030315936,0.0
2.040483373,0.0
2.050314083,0.0
2.060316219,0.0
2.070314949,0.0
2.080457464,0.0
2.090315596,0.0
2.100337311,0.0
2.110315744,0.0
2.120316474,0.0
2.130314594,0.0
2.140361418,0.0
2.150325148,0.0
2.160317768,0.0
2.170318405,0.0
2.180317321,0.0
2.190319348,0.0
2.200316469,0.0
2.210320496,0.0
2.220314522,0.0
2.230317346,0.0
2.24033878,0.0
2.250317603,0.0
2.260320021,0.0
2.27031875,0.0
2.28031948,0.0
2.290317304,0.0
2.300315331,0.0
2.310320451,0.0
2.320313978,0.0
2.330319098,0.0
