Time,CAN2_TCM_C10_DispClutchOvl_Rq_PT_t2
0.038953562,0.0
0.089165249,0.0
0.13930656,0.0
0.189109704,0.0
0.238976366,0.0
0.289116052,0.0
0.338982322,0.0
0.389167634,0.0
0.438983029,0.0
0.489168091,0.0
0.538991252,0.0
0.589183798,0.0
0.639017588,0.0
0.689243669,0.0
0.739002829,0.0
0.789436055,0.0
0.839386111,0.0
0.889183023,0.0
0.939033326,0.0
0.989214654,0.0
1.039140085,0.0
1.089259521,0.0
1.139834392,0.0
1.189216886,0.0
1.239077564,0.0
1.289253018,0.0
1.339104556,0.0
1.38929001,0.0
1.439072795,0.0
1.48927775,0.0
1.539104178,0.0
1.589275255,0.0
1.639135156,0.0
1.689287309,0.0
1.739144299,0.0
1.789450097,0.0
1.839355587,0.0
1.889290594,0.0
1.939154975,0.0
1.989322754,0.0
2.039156117,0.0
2.089322022,0.0
2.139252154,0.0
2.189316789,0.0
2.239169794,0.0
2.289355324,0.0
2.339204188,0.0
2.389352342,0.0
2.43918133,0.0
2.489363985,0.0
2.539205864,0.0
2.589357002,0.0
2.639216749,0.0
2.689390501,0.0
2.739199962,0.0
2.789516467,0.0
2.839382945,0.0
2.889382927,0.0
2.939243764,0.0
2.989431532,0.0
3.039251368,0.0
3.089472621,0.0
3.139408851,0.0
3.189437208,0.0
3.239269294,0.0
3.289446796,0.0
3.339297774,0.0
3.38946951,0.0
3.439281362,0.0
3.489475239,0.0
3.53928395,0.0
3.589476452,0.0
3.639299671,0.0
3.689480574,0.0
3.739322811,0.0
3.789509465,0.0
3.839554363,0.0
3.88952187,0.0
3.939339482,0.0
3.98952551,0.0
4.039409139,0.0
4.089563775,0.0
4.139493281,0.0
4.189510789,0.0
4.239374292,0.0
4.289519554,0.0
4.339380932,0.0
4.389538335,0.0
4.439390072,0.0
4.489629977,0.0
4.539369836,0.0
4.589575365,0.0
4.639406107,0.0
4.689587403,0.0
4.739442798,0.0
4.789635593,0.0
4.839628868,0.0
4.889588141,0.0
4.939440022,0.0
4.989607566,0.0
5.039481837,0.0
5.089640241,0.0
5.139576014,0.0
5.18962654,0.0
5.23946281,0.0
5.289643355,0.0
5.339447233,0.0
5.38965053,0.0
5.439485784,0.0
5.489665329,0.0
5.539463582,0.0
5.589646753,0.0
5.639484267,0.0
5.68967522,0.0
5.739493646,0.0
5.789728725,0.0
5.839728157,0.0
5.889688712,0.0
5.939547498,0.0
5.989715201,0.0
6.039553611,0.0
6.089712813,0.0
6.139663993,0.0
6.189739552,0.0
6.239541728,0.0
6.28973479,0.0
6.339551841,0.0
6.389744668,0.0
6.43960308,0.0
6.489764781,0.0
6.539561442,0.0
6.589760394,0.0
6.639598557,0.0
6.689794761,0.0
6.739589174,0.0
6.789807521,0.0
6.839760437,0.0
6.889806639,0.0
6.939601426,0.0
6.989788381,0.0
7.039645545,0.0
7.089824375,0.0
7.139752557,0.0
7.189834368,0.0
7.239715549,0.0
7.289844987,0.0
7.339681916,0.0
7.389845355,0.0
7.439671284,0.0
7.489857239,0.0
7.539695278,0.0
7.589868108,0.0
7.639683764,0.0
7.689879325,0.0
7.739707343,0.0
7.789913779,0.0
7.839832441,0.0
7.889906732,0.0
7.939699874,0.0
7.9899197,0.0
8.039738094,0.0
8.089922029,0.0
8.140734888,0.0
8.189955983,0.0
8.239790377,0.0
8.28992256,0.0
8.339802096,0.0
8.389954389,0.0
8.439776658,0.0
8.489980718,0.0
8.539790627,0.0
8.589978547,0.0
8.639847461,0.0
8.689993389,0.0
8.739837059,0.0
8.790008629,0.0
8.839834533,0.0
8.889981978,0.0
8.939815506,0.0
8.989973451,0.0
9.03981173,0.0
9.090002051,0.0
9.140194121,0.0
9.190029776,0.0
9.239832179,0.0
9.290008499,0.0
9.339839903,0.0
9.390042364,0.0
9.439841643,0.0
9.490045588,0.0
9.539854492,0.0
9.590046562,0.0
9.639859467,0.0
9.69004554,0.0
9.739863198,0.0
9.790096772,0.0
